game_id,home_team,away_team,goalie_name,opening_line,goalieTeam
12000,ARI,CHI,Connor Ingram,26.5,ARI
12000,ARI,CHI,Arvid Soderblom,27.5,CHI
12001,VGK,MTL,Adin Hill,25.5,VGK
12001,VGK,MTL,Sam Montembeault,29.5,MTL
12002,TOR,LA,Cam Talbot,27.5,LA
12002,TOR,LA,Joseph Woll,27.5,TOR
12003,VAN,NSH,Kevin Lankinen,27.5,NSH
12003,VAN,NSH,Thatcher Demko,26.5,VAN
12004,PHI,BUF,Ukko-Pekka Luukkonen,28.5,BUF
12004,PHI,BUF,Carter Hart,26.5,PHI
12005,CGY,DAL,Jake Oettinger,28.5,DAL
12005,CGY,DAL,Jacob Markstrom,26.5,CGY
12006,COL,STL,Ivan Prosvetov,25.5,COL
12006,COL,STL,Jordan Binnington,30.5,STL
12007,ANA,ARI,Lukas Dostal,27.5,ANA
12007,ANA,ARI,Karel Vejmelka,26.5,ARI
12008,DET,FLA,Sergei Bobrovsky,26.5,FLA
12008,DET,FLA,James Reimer,27.5,DET
12009,NYR,CAR,Frederik Andersen,24.5,CAR
12009,NYR,CAR,Igor Shesterkin,28.5,NYR
12010,OTT,LA,Joonas Korpisalo,27.5,OTT
12010,OTT,LA,Cam Talbot,27.5,LA
12011,WSH,NYI,Darcy Kuemper,27.5,WSH
12011,WSH,NYI,Semyon Varlamov,27.5,NYI
12012,CBJ,TB,Matt Tomkins,27.5,TB
12012,CBJ,TB,Elvis Merzlikins,27.5,CBJ
12013,BOS,TOR,Ilya Samsonov,26.5,TOR
12013,BOS,TOR,Jeremy Swayman,28.5,BOS
12014,MIN,NJ,Vitek Vanecek,26.5,NJ
12014,MIN,NJ,Filip Gustavsson,28.5,MIN
12015,EDM,DAL,Stuart Skinner,26.5,EDM
12015,EDM,DAL,Scott Wedgewood,28.5,DAL
12016,ARI,MTL,Jake Allen,27.5,MTL
12016,ARI,MTL,Connor Ingram,27.5,ARI
12017,VGK,WPG,Logan Thompson,28.5,VGK
12017,VGK,WPG,Connor Hellebuyck,26.5,WPG
12018,SEA,NSH,Juuse Saros,27.5,NSH
12018,SEA,NSH,Philipp Grubauer,25.5,SEA
12019,SJ,VAN,Kaapo Kahkonen,28.5,SJ
12019,SJ,VAN,Thatcher Demko,26.5,VAN
12020,BUF,PHI,Samuel Ersson,26.5,PHI
12020,BUF,PHI,Ukko-Pekka Luukkonen,28.5,BUF
12021,STL,NJ,Jordan Binnington,28.5,STL
12023,ARI,WPG,Karel Vejmelka,28.5,ARI
12024,WSH,CBJ,Charlie Lindgren,27.5,WSH
12024,WSH,CBJ,Elvis Merzlikins,28.5,CBJ
12025,TOR,BUF,Devon Levi,29.5,BUF
12025,TOR,BUF,Joseph Woll,26.5,TOR
12026,PHI,LA,Cam Talbot,26.5,LA
12026,PHI,LA,Cal Petersen,26.5,PHI
12027,STL,MTL,Joel Hofer,27.5,STL
12027,STL,MTL,Sam Montembeault,27.5,MTL
12028,OTT,TB,Joonas Korpisalo,27.5,OTT
12029,DET,BOS,Ville Husso,27.5,DET
12029,DET,BOS,Linus Ullmark,27.5,BOS
12030,NYI,CAR,Ilya Sorokin,30.5,NYI
12030,NYI,CAR,Antti Raanta,25.5,CAR
12031,CHI,FLA,Anthony Stolarz,27.5,FLA
12031,CHI,FLA,Petr Mrazek,29.5,CHI
12032,MIN,NYR,Filip Gustavsson,27.5,MIN
12032,MIN,NYR,Jonathan Quick,26.5,NYR
12033,VGK,COL,Alexandar Georgiev,25.5,COL
12033,VGK,COL,Adin Hill,28.5,VGK
12034,SJ,PIT,Tristan Jarry,24.5,PIT
12034,SJ,PIT,Mackenzie Blackwood,31.5,SJ
12035,SEA,CGY,Philipp Grubauer,28.5,SEA
12036,VAN,DAL,Thatcher Demko,27.5,VAN
12037,CHI,NJ,Arvid Soderblom,28.5,CHI
12037,CHI,NJ,Vitek Vanecek,25.5,NJ
12038,ANA,VGK,Logan Thompson,26.5,VGK
12039,FLA,CBJ,Elvis Merzlikins,28.5,CBJ
12039,FLA,CBJ,Sergei Bobrovsky,26.5,FLA
12040,TOR,TB,Jonas Johansson,29.5,TB
12040,TOR,TB,Ilya Samsonov,26.5,TOR
12041,DAL,BOS,Jake Oettinger,26.5,DAL
12041,DAL,BOS,Jeremy Swayman,27.5,BOS
12042,VAN,EDM,Thatcher Demko,28.5,VAN
12042,VAN,EDM,Stuart Skinner,26.5,EDM
12043,CAR,BUF,Antti Raanta,23.5,CAR
12043,CAR,BUF,Ukko-Pekka Luukkonen,31.5,BUF
12045,NYI,MIN,Marc-Andre Fleury,27.5,MIN
12045,NYI,MIN,Semyon Varlamov,27.5,NYI
12046,NYR,DET,Ville Husso,26.5,DET
12046,NYR,DET,Jonathan Quick,26.5,NYR
12047,STL,WPG,Jordan Binnington,28.5,STL
12047,STL,WPG,Connor Hellebuyck,25.5,WPG
12048,ARI,SEA,Joey Daccord,26.5,SEA
