game_id,home_team,away_team,home_goaltender,away_goaltender
21375,EDM,CHI,Calvin Pickard,Petr Mrazek
21376,NYR,VGK,Igor Shesterkin,Adin Hill
21377,PIT,FLA,Alex Nedeljkovic,Sergei Bobrovsky
21378,COL,LA,Alexandar Georgiev,Cam Talbot
21379,SEA,STL,Joey Daccord,Jordan Binnington
21380,PHI,BOS,Samuel Ersson,Linus Ullmark
21381,DAL,WSH,Jake Oettinger,Charlie Lindgren
21382,EDM,NSH,Stuart Skinner,Kevin Lankinen
21383,SJ,BUF,Kaapo Kahkonen,Ukko-Pekka Luukkonen
21384,DET,VGK,Alex Lyon,Logan Thompson
21385,CAR,ARI,Antti Raanta,Connor Ingram
21386,OTT,NYR,Joonas Korpisalo,Jonathan Quick
21387,PIT,MTL,Tristan Jarry,Jake Allen
21388,TB,NJ,Andrei Vasilevskiy,Vitek Vanecek
21389,WPG,TOR,Connor Hellebuyck,Ilya Samsonov
21390,NYI,FLA,Semyon Varlamov,Anthony Stolarz
21391,MIN,ANA,Filip Gustavsson,Lukas Dostal
21392,CGY,CHI,Jacob Markstrom,Petr Mrazek
21393,VAN,CBJ,Thatcher Demko,Elvis Merzlikins
21394,STL,LA,Joel Hofer,David Rittich
21395,SEA,CBJ,Joey Daccord,Daniil Tarasov
21396,OTT,NSH,Mads Sogaard,Juuse Saros
21397,STL,CBJ,Jordan Binnington,Elvis Merzlikins
21398,SJ,SEA,Mackenzie Blackwood,Joey Daccord
21399,DET,OTT,Alex Lyon,Joonas Korpisalo
21400,NSH,LA,Juuse Saros,David Rittich
21401,ANA,SJ,John Gibson,Kaapo Kahkonen
21402,NYR,COL,Jonathan Quick,Alexandar Georgiev
21403,TOR,NYI,Ilya Samsonov,Ilya Sorokin
21404,BOS,CGY,Jeremy Swayman,Jacob Markstrom
21405,BUF,DAL,Ukko-Pekka Luukkonen,Jake Oettinger
21406,CAR,VAN,Pyotr Kochetkov,Thatcher Demko
21407,NJ,COL,Vitek Vanecek,Justus Annunen
21408,PIT,WPG,Tristan Jarry,Connor Hellebuyck
21409,WSH,MTL,Charlie Lindgren,Sam Montembeault
21410,FLA,PHI,Anthony Stolarz,Samuel Ersson
21411,VGK,EDM,Adin Hill,Stuart Skinner
21412,NYR,TB,Jonathan Quick,Andrei Vasilevskiy
21413,TOR,DAL,Ilya Samsonov,Scott Wedgewood
21414,CHI,MIN,Petr Mrazek,Filip Gustavsson
21415,BOS,VAN,Linus Ullmark,Thatcher Demko
21416,NJ,CGY,Vitek Vanecek,Jacob Markstrom
21417,PHI,WPG,Samuel Ersson,Laurent Brossoit
21418,FLA,WSH,Sergei Bobrovsky,Darcy Kuemper
21419,NYI,TB,Ilya Sorokin,Jonas Johansson
21420,CAR,COL,Pyotr Kochetkov,Alexandar Georgiev
21421,ARI,VGK,Connor Ingram,Adin Hill
21422,MIN,PIT,Marc-Andre Fleury,Alex Nedeljkovic
21423,CHI,NYR,Petr Mrazek,Igor Shesterkin
21424,ANA,EDM,John Gibson,Calvin Pickard
21425,BUF,STL,Ukko-Pekka Luukkonen,Joel Hofer
21426,DET,VAN,Alex Lyon,Casey DeSmith
21427,MTL,DAL,Sam Montembeault,Jake Oettinger
21428,NYI,CGY,Semyon Varlamov,Jacob Markstrom
21429,BOS,WSH,Jeremy Swayman,Charlie Lindgren
21430,FLA,COL,Sergei Bobrovsky,Alexandar Georgiev
21431,CAR,NJ,Pyotr Kochetkov,Vitek Vanecek
21432,OTT,TOR,Joonas Korpisalo,Martin Jones
21433,PHI,SEA,Cal Petersen,Joey Daccord
21434,WPG,PIT,Connor Hellebuyck,Tristan Jarry
21435,CBJ,TB,Elvis Merzlikins,Andrei Vasilevskiy
21436,NSH,ARI,Juuse Saros,Connor Ingram
21437,LA,EDM,David Rittich,Stuart Skinner
21438,MTL,STL,Jake Allen,Jordan Binnington
21439,WSH,VAN,Darcy Kuemper,Thatcher Demko
21440,NJ,SEA,Nico Daws,Joey Daccord
21441,NYR,CGY,Igor Shesterkin,Jacob Markstrom
21442,PHI,ARI,Samuel Ersson,Karel Vejmelka
21443,VGK,MIN,Adin Hill,Filip Gustavsson
21444,BOS,TB,Linus Ullmark,Andrei Vasilevskiy
21445,BUF,LA,Ukko-Pekka Luukkonen,David Rittich
21446,MTL,ANA,Cayden Primeau,Lukas Dostal
21447,OTT,CBJ,Anton Forsberg,Daniil Tarasov
21448,TOR,STL,Ilya Samsonov,Jordan Binnington
21449,WSH,COL,Charlie Lindgren,Alexandar Georgiev
21450,NYI,SEA,Ilya Sorokin,Philipp Grubauer
21451,DAL,CAR,Jake Oettinger,Pyotr Kochetkov
21452,NSH,NJ,Juuse Saros,Nico Daws
21453,CHI,VAN,Petr Mrazek,Thatcher Demko
21454,EDM,DET,Stuart Skinner,Ville Husso
21455,PIT,FLA,Tristan Jarry,Sergei Bobrovsky
21456,WPG,SJ,Connor Hellebuyck,Kaapo Kahkonen
21457,ARI,MIN,Connor Ingram,Marc-Andre Fleury
21458,BOS,SEA,Jeremy Swayman,Joey Daccord
21459,BUF,FLA,Eric Comrie,Anthony Stolarz
21460,NJ,LA,Nico Daws,David Rittich
21461,NYR,MTL,Jonathan Quick,Sam Montembeault
21462,OTT,ANA,Joonas Korpisalo,John Gibson
21463,TB,COL,Andrei Vasilevskiy,Justus Annunen
21464,TOR,PHI,Ilya Samsonov,Samuel Ersson
21465,STL,EDM,Jordan Binnington,Stuart Skinner
21466,CHI,PIT,Arvid Söderblom,Alex Nedeljkovic
21467,CGY,SJ,Dustin Wolf,Mackenzie Blackwood
21468,NSH,DAL,Juuse Saros,Jake Oettinger
21469,VAN,DET,Thatcher Demko,Alex Lyon
21470,ARI,CAR,Karel Vejmelka,Pyotr Kochetkov
21471,DAL,EDM,Jake Oettinger,Calvin Pickard
21472,CHI,OTT,Petr Mrazek,Joonas Korpisalo
21473,CGY,DET,Jacob Markstrom,James Reimer
21474,BOS,LA,Linus Ullmark,David Rittich
21475,STL,NSH,Jordan Binnington,Juuse Saros
21476,TB,FLA,Andrei Vasilevskiy,Sergei Bobrovsky
21477,MIN,BUF,Filip Gustavsson,Ukko-Pekka Luukkonen
21478,MTL,WSH,Jake Allen,Darcy Kuemper
21479,TOR,ANA,Martin Jones,Lukas Dostal
21480,NJ,PHI,Nico Daws,Samuel Ersson
21481,VAN,WPG,Thatcher Demko,Connor Hellebuyck
21482,SJ,CBJ,Kaapo Kahkonen,Elvis Merzlikins
21483,VGK,CAR,Adin Hill,Spencer Martin
21484,NYI,NYR,Ilya Sorokin,Igor Shesterkin
21485,PIT,LA,Tristan Jarry,Cam Talbot
21486,COL,ARI,Alexandar Georgiev,Karel Vejmelka
21487,BUF,ANA,Ukko-Pekka Luukkonen,John Gibson
21488,BOS,DAL,Jeremy Swayman,Jake Oettinger
