goalie_name,event_id,opening_line,team
Jake Oettinger,12061,27.5,DAL
Spencer Martin,12061,27.5,CAR
Laurent Brossoit,12062,25.5,CHI
Joel Hofer,12063,27.5,STL
Karel Vejmelka,12063,26.5,UTA
Philipp Grubauer,12064,28.5,SEA
Ivan Prosvetov,12064,25.5,FA
Stuart Skinner,12065,25.5,EDM
Mackenzie Blackwood,12065,30.5,NJ
Magnus Hellberg,12066,27.5,DAL
Pheonix Copley,12066,26.5,LA
Antti Raanta,12067,26.5,FA
Sergei Bobrovsky,12067,28.5,FLA
Charlie Lindgren,12068,28.5,WSH
Vitek Vanecek,12068,25.5,SJ
Filip Gustavsson,12069,28.5,MIN
Devon Levi,12069,26.5,BUF
Joseph Woll,12070,28.5,TOR
Dan Vladar,12070,26.5,CGY
Kaapo Kahkonen,12071,29.5,COL
Adin Hill,12071,24.5,VGK
Carter Hart,12072,25.5,PHI
Samuel Ersson,12072,24.5,PHI
Lukas Dostal,12072,29.5,ANA
Spencer Martin,12073,27.5,CAR
Ville Husso,12073,27.5,DET
Scott Wedgewood,12074,28.5,NSH
Pyotr Kochetkov,12075,25.5,CAR
Ilya Samsonov,12076,25.5,VGK
Thatcher Demko,12076,29.5,VAN
Dustin Wolf,12077,27.5,CGY
Joonas Korpisalo,12077,28.5,BOS
Jeremy Swayman,12078,27.5,BOS
Sam Montembeault,12078,28.5,MTL
Semyon Varlamov,12079,27.5,NYI
Hunter Shepard,12079,27.5,WSH
Tristan Jarry,12080,25.5,PIT
Ukko-Pekka Luukkonen,12080,29.5,BUF
Connor Ingram,12081,27.5,UTA
Juuse Saros,12081,26.5,NSH
Alexandar Georgiev,12082,24.5,COL
Jordan Binnington,12082,29.5,STL
Philipp Grubauer,12083,28.5,SEA
Stuart Skinner,12083,25.5,EDM
Carter Hart,12084,27.5,PHI
Cam Talbot,12084,25.5,DET
Arvid Soderblom,12085,30.5,CHI
Sergei Bobrovsky,12085,23.5,FLA
Marc-Andre Fleury,12086,26.5,MIN
Jake Oettinger,12086,27.5,DAL
Casey DeSmith,12087,27.5,DAL
Jake Allen,12087,27.5,NJ
Elvis Merzlikins,12088,26.5,CBJ
Jonathan Quick,12088,26.5,NYR
Mackenzie Blackwood,12089,28.5,NJ
Stuart Skinner,12090,25.5,EDM
Ilya Sorokin,12090,30.5,NYI
Joey Daccord,12091,27.5,SEA
Alexandar Georgiev,12091,25.5,COL
Tristan Jarry,12092,26.5,PIT
Elvis Merzlikins,12092,29.5,CBJ
Linus Ullmark,12093,27.5,OTT
Devon Levi,12093,27.5,BUF
Jacob Markstrom,12094,25.5,NJ
Sam Montembeault,12094,28.5,MTL
Charlie Lindgren,12095,27.5,WSH
Logan Thompson,12095,26.5,WSH
Juuse Saros,12096,25.5,NSH
John Gibson,12096,28.5,ANA
