game_id,home_team,away_team,home_shots_on_goal,away_shots_on_goal,corsi_home,corsi_away,fenwick_home,fenwick_away,corsi_home_%,corsi_away_%,fenwick_home_%,fenwick_away_%
2023020997,NJD,STL,33,24,60,62,43,44,0.4918032786885246,0.5081967213114754,0.4942528735632184,0.5057471264367817
2023020998,PIT,WSH,39,29,73,56,51,42,0.5658914728682171,0.43410852713178294,0.5483870967741935,0.45161290322580644
2023020999,TBL,CGY,22,24,57,45,35,34,0.5588235294117647,0.4411764705882353,0.5072463768115942,0.4927536231884058
2023021000,NSH,BUF,24,28,58,45,47,29,0.5631067961165048,0.4368932038834951,0.618421052631579,0.3815789473684211
2023021001,ARI,MIN,25,28,64,60,38,41,0.5161290322580645,0.4838709677419355,0.4810126582278481,0.5189873417721519
2023021002,VGK,VAN,28,35,64,62,47,51,0.5079365079365079,0.49206349206349204,0.47959183673469385,0.5204081632653061
2023021003,LAK,OTT,35,31,70,63,50,40,0.5263157894736842,0.47368421052631576,0.5555555555555556,0.4444444444444444
2023021004,SJS,NYI,25,33,54,62,39,43,0.46551724137931033,0.5344827586206896,0.47560975609756095,0.524390243902439
2023021005,ARI,DET,24,28,50,60,38,47,0.45454545454545453,0.5454545454545454,0.4470588235294118,0.5529411764705883
2023021006,COL,MIN,40,30,79,71,53,57,0.5266666666666666,0.47333333333333333,0.4818181818181818,0.5181818181818182
2023021007,ANA,DAL,27,36,54,63,37,48,0.46153846153846156,0.5384615384615384,0.43529411764705883,0.5647058823529412
2023021008,SEA,WPG,17,32,54,52,35,46,0.5094339622641509,0.49056603773584906,0.43209876543209874,0.5679012345679012
2023021009,BUF,EDM,30,35,59,56,47,49,0.5130434782608696,0.48695652173913045,0.4895833333333333,0.5104166666666666
2023021010,CBJ,NSH,34,49,60,74,43,61,0.44776119402985076,0.5522388059701493,0.41346153846153844,0.5865384615384616
2023021011,NJD,CAR,25,26,54,55,39,45,0.4954128440366973,0.5045871559633027,0.4642857142857143,0.5357142857142857
2023021012,BOS,PIT,23,39,49,70,41,50,0.4117647058823529,0.5882352941176471,0.45054945054945056,0.5494505494505495
2023021013,FLA,CGY,31,35,73,63,52,53,0.5367647058823529,0.4632352941176471,0.49523809523809526,0.5047619047619047
2023021014,MTL,TOR,31,27,52,50,38,33,0.5098039215686274,0.49019607843137253,0.5352112676056338,0.4647887323943662
2023021015,SJS,OTT,21,32,59,74,41,54,0.44360902255639095,0.556390977443609,0.43157894736842106,0.5684210526315789
2023021016,TBL,PHI,26,25,56,58,38,38,0.49122807017543857,0.5087719298245614,0.5,0.5
2023021017,WSH,CHI,26,32,41,70,33,53,0.36936936936936937,0.6306306306306306,0.38372093023255816,0.6162790697674418
2023021018,NYR,STL,39,26,79,46,62,35,0.632,0.368,0.6391752577319587,0.36082474226804123
2023021019,VAN,WPG,37,22,61,39,51,31,0.61,0.39,0.6219512195121951,0.3780487804878049
